API WELL  NUMBER,OIL,GAS,BRINE
34013205830000,0,0,0
34013206190000,0,0,0
34013206200000,0,0,0
34013206530000,240,6923,225
34013206540100,0,147097,2511
34013206570100,0,123035,830
34013206580100,54,288690,4380
34013206600100,0,193272,871
34013206610000,0,255755,2222
34013206680100,0,268040,1771
34013206700100,0,285406,2692
34013206720000,0,330479,3279
34013206730000,0,353066,1589
34013206740000,0,253106,1736
34013206750100,0,164920,2837
34013206770000,0,351752,3431
34013206790000,0,439562,2970
34013206800000,0,138846,1282
34013206810000,0,284309,1896
34013206820000,0,329312,3577
34013206830000,0,373369,5074
34013206840000,0,364391,6402
34013206850000,0,406413,1199
34013206870000,0,357730,2505
34013206880000,0,364305,907
34013206890000,0,203263,835
34013206900000,20,478518,3792
34013206910000,28,131154,1460
34013206930000,0,668620,8626
34013206960000,0,457399,4173
34013206970000,88,537148,2499
34013206990000,0,475270,7906
34013207030000,0,380802,1119
34013207040000,0,241304,2056
34013207050000,506,70611,1054
34013207060000,0,152794,813
34013207070000,0,314534,1481
34013207080000,0,175757,842
34013207090000,0,386818,1760
34013207110000,474,60534,1013
34013207120000,1184,147809,2471
34013207130000,786,109390,1658
34013207150000,0,1054581,15958
34013207160000,7,458904,5877
34013207170000,6,489065,5068
34013207190000,0,290035,3638
34013207210000,0,787022,11149
34013207220000,0,325246,4782
34013207250000,12,187707,2171
34013207260000,23,140978,2107
34013207270000,225,409635,4359
34013207280000,557,86101,46
34013207290000,0,267013,2852
34013207300000,0,388810,1781
34013207310000,0,417092,3469
34013207320000,0,228852,2743
34013207330000,0,310917,2274
34013207340000,0,321430,653
34013207350000,0,283980,2024
34013207370000,0,636228,2417
34013207400000,0,747462,2511
34013207410000,0,579562,3612
34013207420000,0,389685,4153
34013207430000,0,552328,3895
34013207460000,0,998916,22042
34013207470000,0,901508,20223
34013207480000,0,367075,2159
34013207490000,0,368675,1623
34013207500000,0,217978,1424
34013207510000,0,238504,1553
34013207520000,0,294914,3552
34013207530000,0,243496,1586
34013207540000,0,327892,2766
34013207570100,0,420417,3670
34013207580000,0,343889,3782
34013207590000,0,383036,4449
34013207610000,0,279672,1375
34013207620000,0,373528,1443
34013207630000,0,309800,1410
34013207640000,0,339655,1388
34013207650000,0,415044,1751
34013207670000,0,466806,3003
34013207680000,0,337954,6695
34013207690000,0,814138,9379
34013207700000,0,186493,2556
34013207710000,0,149817,5733
34013207720000,0,243336,3796
34013207760000,0,413198,3543
34013207780000,0,840390,12356
34013207790000,0,653130,9608
34013207800000,0,490142,1597
34013207820000,0,599394,2404
34013207830000,1,443655,1751
34013207840000,1,308932,2137
34013207850000,0,320429,6423
34013207890000,0,984289,17088
34013207900000,0,1230326,18402
34013207910000,0,56962,896
34013207920000,0,395793,4968
34013207930000,0,556580,6821
34013207940000,0,469499,5629
34013207960000,0,65755,564
34013207970000,0,1058827,11503
34013207980000,0,635619,6928
34013207990000,0,1156463,12568
34013208000000,0,165760,2232
34013208010000,0,154973,2704
34013208020000,0,228062,1757
34013208030000,0,369624,1703
34013208040000,0,342646,2140
34013208050000,0,294292,2276
34013208070000,0,74800,2370
34013208080000,0,1177798,11058
34013208090000,0,1143682,19292
34013208100000,0,422603,1149
34013208110000,0,380271,1929
34013208120000,0,270657,2921
34013208130000,0,370205,5185
34013208140000,0,234117,3633
34013208170000,0,982279,13548
34013208180000,0,815235,11290
34013208200000,0,507883,8124
34013208210000,0,365788,5906
34013208220000,0,430158,6888
34013208230000,0,282851,2334
34013208240000,0,381506,2370
34013208250000,0,413601,1137
34013208270000,0,875194,23530
34013208280000,0,701521,19020
34013208300000,0,859473,23328
34013208320000,0,445050,2034
34013208330000,0,493364,2255
34013208340000,586,358997,2164
34013208350000,1112,384133,2307
34013208360000,696,339063,2051
34013208370000,1503,320432,1935
34013208380000,1336,279685,1693
34013208440000,0,463958,2148
34013208450000,0,1162252,24624
34013208470000,0,1304510,27490
34013208480000,0,258029,6587
34013208490000,0,1097803,16193
34013208500000,0,1562055,14883
34013208510000,0,234481,4553
34013208520000,0,500211,2277
34013208530000,4,551906,2531
34013208540000,0,166996,2063
34013208550000,0,312898,2124
34013208560000,0,386043,1737
34013208570000,0,172238,2762
34013208580000,0,529900,2195
34013208590000,0,215855,2644
34013208600000,0,840830,8550
34013208610000,0,260580,773
34013208630000,0,269972,1203
34013208640000,0,236194,931
34013208660000,0,478956,1635
34013208680000,0,730035,8169
34013208690000,0,410009,10614
34013208700000,0,688961,10038
34013208710000,0,478278,5199
34013208720000,0,835664,3605
34013208730000,0,675018,3631
34013208740000,0,1054651,27502
34013208750000,0,501800,2757
34013208760000,0,333979,1487
34013208770000,0,742351,10400
34013208780000,0,1038946,25772
34013208790000,0,1010371,25054
34013208800000,0,843510,21113
34013208810000,0,797852,19346
34013208820000,5,447781,4856
34013208830000,4,370666,4536
34013208840000,4,572887,5052
34013208850000,0,124719,5094
34013208860000,1,571903,1370
34013208870000,1,815270,1497
34013208880000,1,541279,1468
34013208890000,0,408029,23709
34013208900000,0,240167,5098
34013208910000,0,248002,3555
34013208920000,0,441194,7620
34013208930100,0,723360,957
34013208940000,0,577841,2717
34013208950000,0,640606,5559
34013208960000,0,596299,4831
34013208970000,0,572184,7175
34013208980000,0,360683,1424
34013208990000,0,249214,2850
34013209000000,0,185343,1422
34013209010000,0,213546,750
34013209020000,0,856994,16818
34013209030000,0,726795,14298
34013209040000,0,508350,10137
34013209050000,0,268332,5612
34013209070000,0,790741,4324
34013209080000,0,610189,2248
34013209140000,0,731998,3728
34013209150000,0,629494,2450
34013209170000,1,428937,2357
34013209180000,1,544894,2291
34013209190000,1,488746,2125
34013209230000,0,0,0
34013209240000,0,175406,2754
34013209260000,0,650954,2598
34013209280000,0,361472,1447
34013209290000,0,400788,1636
34013209360000,0,816652,2383
34013209370000,0,565031,3623
34013209380000,0,883685,8283
34013209390000,0,651816,1403
34013209410000,0,662438,29514
34013209420000,0,404597,17781
34013209460000,0,560283,22824
34013209480000,0,697149,29387
34013209490000,0,746705,9069
34013209500000,0,406613,5555
34013209510000,0,1261168,6393
34013209520000,0,775568,13548
34013209550000,0,899719,14800
34013209560000,0,753233,12266
34013209570000,0,854818,1969
34013209580000,0,1287659,20631
34013209590000,0,1536649,23907
34013209600000,0,929672,7578
34013209610000,0,579673,7578
34013209630000,0,696072,7567
34013209640000,0,483427,5318
34013209650000,0,803264,60039
34013209660000,0,853536,27174
34013209680000,0,512170,5359
34013209700000,0,465836,6451
34013209710000,0,612020,4229
34013209720000,0,525461,4098
34013209730000,0,550872,5356
34013209740100,0,653705,27326
34013209750000,0,406492,16877
34013209760000,0,303811,3870
34013209770000,0,674662,3212
34013209780000,0,445191,3356
34013209790000,0,652744,3909
34013209880000,0,472294,4575
34013209890000,0,348840,4185
34013209900000,0,369504,4255
34013209910000,0,567728,8071
34013209920000,0,155697,1535
34013209930000,0,321601,3006
34013209940000,0,0,0
34013209950000,0,722731,8824
